Model,HyperParemeters,Scaler,Test Size,Outlier Handling,Fit Time(s),Top Attributes,Test RMSLE
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.673729419708252,50,0.11777587285046723
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.245702743530273,70,0.12698918697008849
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.9554054737091064,35,0.13052005416738047
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,435.7754552364349,25,0.13199276441613678
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.472609519958496,60,0.13224960369531674
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,418.007807970047,20,0.13301762135347225
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.685475826263428,40,0.13328047611837113
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,443.40996718406683,35,0.13383041944650315
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,427.0628638267517,30,0.1356770479857806
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,408.881335735321,50,0.13576384500675207
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,5.055847883224487,15,0.1361079197269736
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,54.86986613273621,50,0.13660522192149582
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,377.14615392684937,70,0.13677692476967235
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,57.049710273742676,35,0.13720408839338027
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,58.07137417793274,25,0.13721297467723212
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,53.38675999641418,20,0.13752030219422953
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,416.0403010845184,40,0.13794322931878358
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,53.77020001411438,40,0.13830712578163729
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,46.44062972068786,70,0.1392034788152353
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,5.115680456161499,20,0.13953602197339957
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,55.916234254837036,30,0.1402735328469533
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,48.07994270324707,60,0.14051313226335627
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.854642391204834,25,0.14116325043604888
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.2853515148162842,70,0.14209362111047674
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,367.7373371124268,60,0.1424177587436188
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,534.2711427211761,10,0.14279910057106027
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,4.953662872314453,30,0.14312888034374358
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,439.0916814804077,15,0.14541894020375898
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,68.00982332229614,15,0.14599115372354832
XGBRegressor,"(base_score=None, booster=None, colsample_bylevel=None,
             colsample_bynode=None, colsample_bytree=0.6, gamma=None,
             gpu_id=None, importance_type='gain', interaction_constraints=None,
             learning_rate=0.1, max_delta_step=None, max_depth=6,
             min_child_weight=3, missing=nan, monotone_constraints=None,
             n_estimators=64, n_jobs=None, num_parallel_tree=None,
             random_state=101, reg_alpha=None, reg_lambda=None,
             scale_pos_weight=None, subsample=0.7, tree_method=None,
             validate_parameters=None, verbosity=None)",MinMaxScaler,0.1,Log,5.056305646896362,10,0.1474357245820988
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.3163661956787109,60,0.14873738601409384
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,62.94987297058106,10,0.1507491032568445
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.3401989936828613,40,0.1601226341167798
ElasticNet,"(alpha=0.3, l1_ratio=0.95, warm_start=True)",MinMaxScaler,0.1,Replace,0.3202764987945557,50,0.16267678382696155
