Model,HyperParemeters,Scaler,Test Size,Outlier Handling,Fit Time(s),Top Attributes,Test RMSLE
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,2.2896552085876465,50,0.13421235835893905
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,25.55270481109619,70,0.13490095674852667
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,2.109928607940674,40,0.1354286686642041
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,2.7466654777526855,70,0.13777726305730226
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,21.539913177490234,50,0.13808558712274063
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,20.634780406951904,40,0.1382394385224334
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,1.9164371490478516,35,0.13827849825003116
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,23.279933214187622,60,0.13871127226468621
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,3.309964179992676,100,0.13899066283013517
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,2.6303093433380127,60,0.1404500809542851
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,3.0849266052246094,80,0.14096398398720322
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,1.8001599311828613,30,0.1409688274722811
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,27.929977893829346,100,0.1420816483709338
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,1.5800936222076416,20,0.1426419550250901
RandomForestRegressor,"(max_depth=32, min_samples_split=8, n_estimators=200)",RobustScaler,0.1,YeoJonson,1.9403209686279297,25,0.14295196774414246
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,18.379838466644287,30,0.14585983404336497
GradientBoostingRegressor,"(learning_rate=0.2, loss='huber', max_depth=24,
                          min_samples_split=16, n_estimators=400)",MinMaxScaler,0.1,YeoJonson,26.319649934768677,80,0.14694902412986563
