Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.1,Replace,7.826934576034546,0.15414176341036134,0.1342208365646166
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",None,0.1,Log,11.826380968093872,0.17362492868092358,0.13662869639689795
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.1,YeoJonson,268.5691709518433,0.14793001511941745,0.13812586419956513
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.1,YeoJonson,275.054943561554,0.14758179609033478,0.13851474815088755
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.1,YeoJonson,300.9470927715301,0.1475810087055422,0.13851476096376014
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",RobustScaler,0.1,YeoJonson,75.00957536697388,0.14499702762397998,0.13989271830752129
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 200, 'min_samples_split': 8, 'max_features': 'auto', 'max_depth': 32}",None,0.1,YeoJonson,75.0497500896454,0.14499837246652406,0.13989271830752129
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.1,Log,302.62100458145136,0.14822416312764625,0.14015413373745125
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",RobustScaler,0.1,Log,302.0295333862305,0.1481674254227165,0.1402490322132528
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.1,Log,390.57593703269964,0.14816719714737547,0.14024943060832154
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",None,0.1,Log,318.84475088119507,0.14817287500914256,0.14024974689088382
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.1,YeoJonson,294.7791020870209,0.14817795622607996,0.14029187692498027
RandomForestRegressor,"{'warm_start': True, 'n_estimators': 64, 'min_samples_split': 4, 'max_features': 'auto', 'max_depth': 128}",MinMaxScaler,0.1,YeoJonson,72.16333079338074,0.1450042129870438,0.14124498384095696
RandomForestRegressor,"{'warm_start': True, 'n_estimators': 64, 'min_samples_split': 4, 'max_features': 'auto', 'max_depth': 128}",StandardScaler,0.1,YeoJonson,70.13324022293091,0.14501118753136732,0.14125848401898888
RandomForestRegressor,"{'warm_start': True, 'n_estimators': 64, 'min_samples_split': 4, 'max_features': 'auto', 'max_depth': 128}",None,0.1,Log,73.89955449104309,0.14507510696635326,0.1414512242529097
RandomForestRegressor,"{'warm_start': True, 'n_estimators': 64, 'min_samples_split': 4, 'max_features': 'auto', 'max_depth': 128}",RobustScaler,0.1,Log,70.2520112991333,0.1450706745727577,0.1414584264582359
RandomForestRegressor,"{'warm_start': True, 'n_estimators': 64, 'min_samples_split': 4, 'max_features': 'auto', 'max_depth': 128}",StandardScaler,0.1,Log,68.76264595985414,0.14508418108958548,0.14147459661487016
RandomForestRegressor,"{'warm_start': True, 'n_estimators': 64, 'min_samples_split': 4, 'max_features': 'auto', 'max_depth': 128}",MinMaxScaler,0.1,Log,71.1191122531891,0.14506574290673716,0.141518916830861
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",None,0.1,YeoJonson,13.973895072937012,0.17782486364509156,0.14184748543489678
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",StandardScaler,0.1,Replace,69.46950078010559,0.14651296792030974,0.14258657305343836
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",RobustScaler,0.1,Replace,68.95816707611084,0.14651572775178565,0.142704577522361
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",None,0.1,Replace,68.73043704032898,0.1465079864741449,0.1427112249466764
RandomForestRegressor,"{'warm_start': False, 'n_estimators': 100, 'min_samples_split': 2, 'max_features': 'sqrt', 'max_depth': 128}",MinMaxScaler,0.1,Replace,69.07391691207886,0.1465940687368255,0.14274455127403668
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.1,Log,7.202323913574219,0.1795610986970162,0.14433321584986145
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.1,YeoJonson,7.132136821746826,0.1765102920912919,0.14548902833365035
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",StandardScaler,0.3,YeoJonson,216.70963144302368,0.15363624520039448,0.1461379012042591
GradientBoostingRegressor,"{'warm_start': False, 'n_estimators': 400, 'min_samples_split': 16, 'max_depth': 24, 'loss': 'huber', 'learning_rate': 0.2}",MinMaxScaler,0.3,YeoJonson,196.4122893810272,0.15392413029972704,0.14616742705059188
